Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Lookup",1.2113128424124287e-2,1.2082618793285253e-2,1.2150846243338153e-2,9.701182590032476e-5,7.717360954118493e-5,1.1721736579892389e-4
"Intersect",5.750065350398738e-4,5.596818129382147e-4,6.344307469893517e-4,7.579744941504673e-5,1.1097485962179977e-5,1.6531644742561255e-4
"Sort",0.1148013296926383,0.11126655968073643,0.12084469231013095,1.281202810846584e-2,8.65970160055578e-3,2.1811474763555765e-2
"Union",1.5836757739818457e-3,1.5682604233857357e-3,1.6276338021393977e-3,6.791344822782642e-5,2.7018113562441858e-5,1.3868804166918116e-4
"Difference",8.997362078510023e-4,8.537904379888774e-4,1.0105506537481548e-3,1.862886616786837e-4,4.7462494297197426e-5,3.3613728229796134e-4
"Filter",9.909552654064064e-3,9.285396655834083e-3,1.1507092237906023e-2,2.5310954019698885e-3,5.231973051038609e-4,4.737602126746343e-3
"Split",1.1443898909502496e-6,1.1307150535687277e-6,1.1738456841420855e-6,5.459241801210371e-8,2.6786888517734408e-8,9.970167140185432e-8
"Min/Max",2.779711808556728e-6,2.698105629963888e-6,3.076879804369945e-6,3.918023124188089e-7,8.664181151326863e-8,8.436947193029139e-7
"FromList",0.1041863782410188,9.894230596267817e-2,0.11164632868810134,1.7639460385423477e-2,1.297073659097843e-2,2.380702635512319e-2
"ToList",7.076976802758497e-3,6.817953560231911e-3,7.719997008786056e-3,1.059041283263468e-3,2.4086082032358003e-4,1.946364081088083e-3
